batch,Instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,percNeg,par_CP,vertices,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,effort,NPV,time
"['50', '10', '2', '10', '100']",dg9.tpf,HS,50,10,2,10,100,1,52,89,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",90,45,2075,"-1,759989534","0,01562666893"
"['50', '10', '2', '10', '100']",dg9.tpf,RS,50,10,2,10,100,1,52,89,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",90,45,15342,"-1,759989534","0,1314847469"
"['50', '10', '2', '10', '100']",dg1.tpf,SAA,50,10,2,10,100,2,52,92,7,2,1,"1,530612245",2,1,"1,489795918","0,1","96,15384615",168,56,2042,"-0,001514164258","0,01562142372"
"['50', '10', '2', '10', '100']",dg1.tpf,HS,50,10,2,10,100,2,52,92,7,2,1,"1,530612245",2,1,"1,489795918","0,1","96,15384615",168,56,1937,"-0,001514164258",0
"['50', '10', '2', '10', '100']",dg1.tpf,RS,50,10,2,10,100,2,52,92,7,2,1,"1,530612245",2,1,"1,489795918","0,1","96,15384615",168,55,8276,"-0,001514164258","0,1158766747"
"['50', '10', '2', '10', '100']",dg10.tpf,SAA,50,10,2,10,100,2,52,94,7,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",153,51,2265,"-0,005355105534","0,01562190056"
"['50', '10', '2', '10', '100']",dg10.tpf,HS,50,10,2,10,100,2,52,94,7,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",153,51,2158,"-0,005355105534","0,01562952995"
"['50', '10', '2', '10', '100']",dg10.tpf,RS,50,10,2,10,100,2,52,94,7,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",153,51,8302,"-0,005355105534","0,06248474121"
"['50', '10', '2', '10', '100']",dg2.tpf,SAA,50,10,2,10,100,2,52,89,9,2,1,"1,530612245",2,1,"1,448979592","0,1","96,15384615",144,48,2076,"-0,0120693478","0,01561903954"
"['50', '10', '2', '10', '100']",dg2.tpf,HS,50,10,2,10,100,2,52,89,9,2,1,"1,530612245",2,1,"1,448979592","0,1","96,15384615",144,48,1961,"-0,0120693478","0,01562285423"
"['50', '10', '2', '10', '100']",dg2.tpf,RS,50,10,2,10,100,2,52,89,9,2,1,"1,530612245",2,1,"1,448979592","0,1","96,15384615",144,48,12510,"-0,0120693478","0,07811379433"
"['50', '10', '2', '10', '100']",dg3.tpf,SAA,50,10,2,10,100,2,52,94,8,2,1,"1,510204082",2,1,"1,571428571","0,1","96,15384615",141,47,2238,"-0,007902811634","0,01562213898"
"['50', '10', '2', '10', '100']",dg3.tpf,HS,50,10,2,10,100,2,52,94,8,2,1,"1,510204082",2,1,"1,571428571","0,1","96,15384615",141,47,2136,"-0,007902811634",0
"['50', '10', '2', '10', '100']",dg3.tpf,RS,50,10,2,10,100,2,52,94,8,2,1,"1,510204082",2,1,"1,571428571","0,1","96,15384615",141,47,6282,"-0,007902811634","0,04687094688"
"['50', '10', '2', '10', '100']",dg4.tpf,SAA,50,10,2,10,100,2,52,97,8,2,1,"1,612244898",2,1,"1,632653061","0,1","96,15384615",153,51,2298,"-0,005357550921","0,01562070847"
"['50', '10', '2', '10', '100']",dg4.tpf,HS,50,10,2,10,100,2,52,97,8,2,1,"1,612244898",2,1,"1,632653061","0,1","96,15384615",153,51,2197,"-0,005357550921",0
"['50', '10', '2', '10', '100']",dg4.tpf,RS,50,10,2,10,100,2,52,97,8,2,1,"1,612244898",2,1,"1,632653061","0,1","96,15384615",153,51,10227,"-0,005357550921","0,1002440453"
"['50', '10', '2', '10', '100']",dg5.tpf,SAA,50,10,2,10,100,2,52,97,7,2,1,"1,571428571",2,1,"1,632653061","0,1","96,15384615",153,51,2302,"-0,004582657489","0,01562356949"
"['50', '10', '2', '10', '100']",dg5.tpf,HS,50,10,2,10,100,2,52,97,7,2,1,"1,571428571",2,1,"1,632653061","0,1","96,15384615",153,51,2199,"-0,004582657489","0,01562833786"
"['50', '10', '2', '10', '100']",dg5.tpf,RS,50,10,2,10,100,2,52,97,7,2,1,"1,571428571",2,1,"1,632653061","0,1","96,15384615",153,51,6480,"-0,004582657489","0,05376601219"
"['50', '10', '2', '10', '100']",dg6.tpf,SAA,50,10,2,10,100,2,52,94,8,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",141,47,2164,"-0,01875476811",0
"['50', '10', '2', '10', '100']",dg6.tpf,HS,50,10,2,10,100,2,52,94,8,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",141,47,2052,"-0,01875476811","0,0156223774"
"['50', '10', '2', '10', '100']",dg6.tpf,RS,50,10,2,10,100,2,52,94,8,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",141,47,8713,"-0,01875476811","0,06899762154"
"['50', '10', '2', '10', '100']",dg7.tpf,SAA,50,10,2,10,100,2,52,95,8,2,1,"1,571428571",2,1,"1,530612245","0,1","96,15384615",114,38,2154,"-0,1032829368",0
"['50', '10', '2', '10', '100']",dg7.tpf,HS,50,10,2,10,100,2,52,95,8,2,1,"1,571428571",2,1,"1,530612245","0,1","96,15384615",114,38,2064,"-0,1032829368","0,01562929153"
"['50', '10', '2', '10', '100']",dg7.tpf,RS,50,10,2,10,100,2,52,95,8,2,1,"1,571428571",2,1,"1,530612245","0,1","96,15384615",114,38,6904,"-0,1032829368","0,04686379433"
"['50', '10', '2', '10', '100']",dg8.tpf,SAA,50,10,2,10,100,2,52,95,8,2,1,"1,551020408",2,1,"1,571428571","0,1","96,15384615",159,53,2227,"-0,002166396844",0
"['50', '10', '2', '10', '100']",dg8.tpf,HS,50,10,2,10,100,2,52,95,8,2,1,"1,551020408",2,1,"1,571428571","0,1","96,15384615",159,53,2126,"-0,002166396844","0,0156223774"
"['50', '10', '2', '10', '100']",dg8.tpf,RS,50,10,2,10,100,2,52,95,8,2,1,"1,551020408",2,1,"1,571428571","0,1","96,15384615",159,53,6748,"-0,002166396844","0,05336904526"
"['50', '10', '2', '10', '100']",dg9.tpf,SAA,50,10,2,10,100,2,52,92,9,2,1,"1,591836735",2,1,"1,571428571","0,1","96,15384615",189,63,2233,"-0,0002968803641","0,01561880112"
"['50', '10', '2', '10', '100']",dg9.tpf,HS,50,10,2,10,100,2,52,92,9,2,1,"1,591836735",2,1,"1,571428571","0,1","96,15384615",189,63,2106,"-0,0002968803641","0,01562142372"
"['50', '10', '2', '10', '100']",dg9.tpf,RS,50,10,2,10,100,2,52,92,9,2,1,"1,591836735",2,1,"1,571428571","0,1","96,15384615",189,63,14935,"-0,0002968803641","0,1186811924"
"['50', '10', '2', '10', '20']",dg1.tpf,SAA,50,10,2,10,20,1,52,94,8,2,1,"1,551020408",2,1,"1,591836735","0,1","23,07692308",92,46,559,"507,7399321","0,00299191475"
"['50', '10', '2', '10', '20']",dg1.tpf,HS,50,10,2,10,20,1,52,94,8,2,1,"1,551020408",2,1,"1,591836735","0,1","23,07692308",92,46,331,"507,7399321","0,00099730492"
"['50', '10', '2', '10', '20']",dg1.tpf,RS,50,10,2,10,20,1,52,94,8,2,1,"1,551020408",2,1,"1,591836735","0,1","23,07692308",92,46,534,"507,7399321","0,00398755074"
"['50', '10', '2', '10', '20']",dg10.tpf,SAA,50,10,2,10,20,1,52,94,7,2,1,"1,510204082",2,1,"1,551020408","0,1","11,53846154",80,40,292,"617,3241127","0,00199460983"
