id;algo;vertices;layer;fan;discRate;percNeg;cpMult;effort
557;HS;64;6;4;25;25;1;4411
558;RS;64;6;4;25;25;1;12392
559;SAA;64;6;4;25;25;1;4089
560;HS;64;6;4;25;25;1;3909
561;RS;64;6;4;25;25;1;39043
562;SAA;64;6;4;25;25;1;4929
563;HS;64;6;4;25;25;1;4398
564;RS;64;6;4;25;25;1;13221
565;SAA;64;6;4;25;25;1;4683
566;HS;64;6;4;25;25;1;3787
567;RS;64;6;4;25;25;1;24182
568;SAA;64;6;4;25;25;1;3725
569;HS;64;6;4;25;25;1;2933
570;RS;64;6;4;25;25;1;18034
571;SAA;64;6;4;25;50;1;2293
572;HS;64;6;4;25;50;1;1535
573;RS;64;6;4;25;50;1;4539
574;SAA;64;6;4;25;50;1;942
575;HS;64;6;4;25;50;1;610
576;RS;64;6;4;25;50;1;2382
577;SAA;64;6;4;25;50;1;1546
578;HS;64;6;4;25;50;1;1069
579;RS;64;6;4;25;50;1;13114
580;SAA;64;6;4;25;50;1;2569
581;HS;64;6;4;25;50;1;2093
582;RS;64;6;4;25;50;1;32835
583;SAA;64;6;4;25;50;1;1103
584;HS;64;6;4;25;50;1;778
585;RS;64;6;4;25;50;1;3667
586;SAA;64;6;4;25;50;1;1295
587;HS;64;6;4;25;50;1;958
588;RS;64;6;4;25;50;1;12208
589;SAA;64;6;4;25;50;1;1985
590;HS;64;6;4;25;50;1;1404
591;RS;64;6;4;25;50;1;6857
592;SAA;64;6;4;25;50;1;3666
593;HS;64;6;4;25;50;1;2428
594;RS;64;6;4;25;50;1;7258
595;SAA;64;6;4;25;50;1;2259
596;HS;64;6;4;25;50;1;1619
597;RS;64;6;4;25;50;1;9543
598;SAA;64;6;4;25;50;1;1044
599;HS;64;6;4;25;50;1;735
600;RS;64;6;4;25;50;1;6242
601;SAA;64;8;3;25;25;1;2288
602;HS;64;8;3;25;25;1;1659
603;RS;64;8;3;25;25;1;12437
604;SAA;64;8;3;25;25;1;3035
605;HS;64;8;3;25;25;1;2204
606;RS;64;8;3;25;25;1;9377
607;SAA;64;8;3;25;25;1;2555
608;HS;64;8;3;25;25;1;2192
609;RS;64;8;3;25;25;1;16154
610;SAA;64;8;3;25;25;1;3724
611;HS;64;8;3;25;25;1;3244
612;RS;64;8;3;25;25;1;20988
613;SAA;64;8;3;25;25;1;3862
614;HS;64;8;3;25;25;1;2973
615;RS;64;8;3;25;25;1;21218
616;SAA;64;8;3;25;25;1;3360
617;HS;64;8;3;25;25;1;2307
618;RS;64;8;3;25;25;1;24882
619;SAA;64;8;3;25;25;1;3508
620;HS;64;8;3;25;25;1;2887
621;RS;64;8;3;25;25;1;12624
622;SAA;64;8;3;25;25;1;3968
623;HS;64;8;3;25;25;1;3316
624;RS;64;8;3;25;25;1;28215
625;SAA;64;8;3;25;25;1;4400
626;HS;64;8;3;25;25;1;3171
627;RS;64;8;3;25;25;1;15820
628;SAA;64;8;3;25;25;1;3443
629;HS;64;8;3;25;25;1;2845
630;RS;64;8;3;25;25;1;10611
631;SAA;64;8;3;25;50;1;1325
632;HS;64;8;3;25;50;1;831
633;RS;64;8;3;25;50;1;7031
634;SAA;64;8;3;25;50;1;1750
635;HS;64;8;3;25;50;1;1361
636;RS;64;8;3;25;50;1;3722
637;SAA;64;8;3;25;50;1;1115
638;HS;64;8;3;25;50;1;785
639;RS;64;8;3;25;50;1;2423
640;SAA;64;8;3;25;50;1;931
641;HS;64;8;3;25;50;1;582
642;RS;64;8;3;25;50;1;2558
643;SAA;64;8;3;25;50;1;1634
644;HS;64;8;3;25;50;1;1156
645;RS;64;8;3;25;50;1;5565
646;SAA;64;8;3;25;50;1;2768
647;HS;64;8;3;25;50;1;1825
648;RS;64;8;3;25;50;1;14012
649;SAA;64;8;3;25;50;1;2485
650;HS;64;8;3;25;50;1;1761
651;RS;64;8;3;25;50;1;6788
652;SAA;64;8;3;25;50;1;1641
653;HS;64;8;3;25;50;1;983
654;RS;64;8;3;25;50;1;6621
655;SAA;64;8;3;25;50;1;910
656;HS;64;8;3;25;50;1;603
657;RS;64;8;3;25;50;1;5033
658;SAA;64;8;3;25;50;1;936
659;HS;64;8;3;25;50;1;608
660;RS;64;8;3;25;50;1;3463
661;SAA;64;8;4;25;25;1;3770
662;HS;64;8;4;25;25;1;3182
663;RS;64;8;4;25;25;1;19931
664;SAA;64;8;4;25;25;1;2456
665;HS;64;8;4;25;25;1;2111
666;RS;64;8;4;25;25;1;16736
667;SAA;64;8;4;25;25;1;3663
668;HS;64;8;4;25;25;1;3244
669;RS;64;8;4;25;25;1;26697
670;SAA;64;8;4;25;25;1;3263
671;HS;64;8;4;25;25;1;2919
672;RS;64;8;4;25;25;1;29922
673;SAA;64;8;4;25;25;1;4262
674;HS;64;8;4;25;25;1;3686
675;RS;64;8;4;25;25;1;24278
676;SAA;64;8;4;25;25;1;4303
677;HS;64;8;4;25;25;1;2936
678;RS;64;8;4;25;25;1;26469
679;SAA;64;8;4;25;25;1;2256
680;HS;64;8;4;25;25;1;1871
681;RS;64;8;4;25;25;1;29082
682;SAA;64;8;4;25;25;1;3953
683;HS;64;8;4;25;25;1;3541
684;RS;64;8;4;25;25;1;11005
685;SAA;64;8;4;25;25;1;4440
686;HS;64;8;4;25;25;1;3694
687;RS;64;8;4;25;25;1;38982
688;SAA;64;8;4;25;25;1;3217
689;HS;64;8;4;25;25;1;3009
690;RS;64;8;4;25;25;1;30940
691;SAA;64;8;4;25;50;1;1870
692;HS;64;8;4;25;50;1;1233
693;RS;64;8;4;25;50;1;10517
694;SAA;64;8;4;25;50;1;1634
695;HS;64;8;4;25;50;1;1051
696;RS;64;8;4;25;50;1;12654
697;SAA;64;8;4;25;50;1;1604
698;HS;64;8;4;25;50;1;1172
699;RS;64;8;4;25;50;1;5369
